別 O
只 O
能 R
想 O
自 O
己 O
， O
想 M
你 M
周 O
圍 O
的 O
人 O
。 O

當 O
然 O
吸 O
煙 O
者 O
也 O
會 O
偶 O
爾 O
遇 O
到 O
他 O
人 O
的 O
煙 O
碰 O
你 O
的 O
情 O
況 O
， O
不 O
難 O
想 O
像 O
， O
你 O
也 O
會 O
討 O
厭 O
的 O
。 O

本 O
人 O
曾 O
在 O
市 O
內 O
的 O
一 O
家 O
搬 O
運 O
公 O
司 O
擔 O
任 O
司 O
機 O
兼 O
搬 O
運 O
人 O
員 O
長 O
達 O
兩 O
年 O
， O
對 O
本 O
市 O
的 O
交 O
通 O
路 O
線 O
都 O
非 O
常 O
地 O
熟 O
悉 O
， O
堪 O
稱 O
了 O
如 O
指 O
掌 O
， O
而 O
且 O
由 O
於 O
兼 O
任 O
搬 O
運 O
人 O
員 O
， O
因 O
而 O
鍛 O
鍊 O
出 O
一 O
副 O
健 O
碩 O
的 O
體 O
格 O
， O
足 O
以 O
應 O
付 O
旅 O
遊 O
業 O
需 O
要 O
長 O
時 O
間 O
長 O
途 O
駕 O
駛 O
的 O
需 O
求 O
， O
希 O
望 O
可 O
以 O
得 O
到 O
貴 O
公 O
司 O
的 O
重 O
用 O
。 O

” O
我 O
小 O
時 O
候 O
， O
父 O
母 O
對 O
我 O
做 O
的 O
事 O
都 O
是 O
理 O
所 O
當 O
然 O
的 O
。 O
沒 O
想 O
過 O
你 O
們 O
因 O
我 O
而 O
那 O
麼 O
辛 O
苦 O
。 O
於 O
是 O
， O
９ O
８ O
年 O
我 O
到 O
中 O
國 O
留 O
學 O
時 O
， O
我 O
才 O
感 O
覺 O
到 O
父 O
母 O
是 O
對 O
我 O
多 O
麼 O
重 O
要 O
的 O
存 O
在 O
。 O

這 O
個 O
措 O
施 O
有 O
三 O
種 S
好 O
處 O
。 O

但 O
假 O
設 O
我 O
因 O
為 O
某 O
種 O
原 O
因 O
要 O
長 O
時 O
間 O
待 O
在 O
有 O
煙 O
味 O
的 O
地 O
方 O
， O
也 O
許 O
出 O
於 O
對 O
身 O
體 O
健 O
康 O
的 O
顧 O
慮 O
會 O
尋 O
求 O
離 O
開 O
這 O
一 O
環 O
境 O
。 O

孩 O
子 O
第 M
一 O
個 O
老 O
師 O
是 O
誰 O
？ O

我 O
覺 O
得 O
上 R
男 O
女 O
分 O
班 O
的 O
學 O
生 O
比 O
男 O
女 O
混 O
合 O
班 O
的 O
學 O
生 O
更 O
關 S
心 S
早 O
戀 O
。 O

社 O
會 O
的 O
日 O
新 O
月 O
異 O
， R
隨 O
著 O
社 O
會 O
的 O
發 O
展 O
年 O
青 O
一 O
代 O
的 O
生 O
活 O
方 O
式 O
也 O
跟 O
著 O
潮 O
流 O
的 O
改 O
變 O
而 O
改 O
變 O
。 O
尤 O
其 O
喜 O
歡 O
模 O
仿 O
西 O
方 O
人 O
士 O
的 O
衣 S
作 S
及 O
生 O
活 O
方 O
式 O
， O
有 O
樣 O
學 O
樣 O
， O
做 O
父 O
母 O
的 O
往 O
往 O
看 O
不 O
慣 O
， O
就 O
會 O
加 O
以 O
干 O
涉 O
。 O
孩 O
子 O
又 O
不 O
接 O
受 O
， O
堅 O
持 O
己 O
見 O
， O
慢 O
慢 O
地 O
不 O
自 O
覺 O
的 S
引 O
起 O
了 O
“ O
代 O
溝 O
” O
問 O
題 O
。 O

我 O
覺 O
得 O
吸 O
煙 O
人 O
們 O
有 O
很 O
多 O
壞 O
處 O
， O
所 O
以 O
吸 O
煙 O
者 O
應 O
該 O
要 O
戒 R
煙 O
。 O
